Process,Image Path,Max Temp,Min Temp,X_0,Y_0,Z_0,Vis_0,Pres_0,X_1,Y_1,Z_1,Vis_1,Pres_1,X_2,Y_2,Z_2,Vis_2,Pres_2,X_3,Y_3,Z_3,Vis_3,Pres_3,X_4,Y_4,Z_4,Vis_4,Pres_4,X_5,Y_5,Z_5,Vis_5,Pres_5,X_6,Y_6,Z_6,Vis_6,Pres_6,X_7,Y_7,Z_7,Vis_7,Pres_7,X_8,Y_8,Z_8,Vis_8,Pres_8,X_9,Y_9,Z_9,Vis_9,Pres_9,X_10,Y_10,Z_10,Vis_10,Pres_10,X_11,Y_11,Z_11,Vis_11,Pres_11,X_12,Y_12,Z_12,Vis_12,Pres_12,X_13,Y_13,Z_13,Vis_13,Pres_13,X_14,Y_14,Z_14,Vis_14,Pres_14,X_15,Y_15,Z_15,Vis_15,Pres_15,X_16,Y_16,Z_16,Vis_16,Pres_16,X_17,Y_17,Z_17,Vis_17,Pres_17,X_18,Y_18,Z_18,Vis_18,Pres_18,X_19,Y_19,Z_19,Vis_19,Pres_19,X_20,Y_20,Z_20,Vis_20,Pres_20,X_21,Y_21,Z_21,Vis_21,Pres_21,X_22,Y_22,Z_22,Vis_22,Pres_22,X_23,Y_23,Z_23,Vis_23,Pres_23,X_24,Y_24,Z_24,Vis_24,Pres_24,X_25,Y_25,Z_25,Vis_25,Pres_25,X_26,Y_26,Z_26,Vis_26,Pres_26,X_27,Y_27,Z_27,Vis_27,Pres_27,X_28,Y_28,Z_28,Vis_28,Pres_28,X_29,Y_29,Z_29,Vis_29,Pres_29,X_30,Y_30,Z_30,Vis_30,Pres_30,X_31,Y_31,Z_31,Vis_31,Pres_31,X_32,Y_32,Z_32,Vis_32,Pres_32,torso_x,torso_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221041646.jpeg,38.0,28.5,1172,824,0.08319971710443497,0.9999703168869019,0.999997615814209,1208,743,0.11653297394514084,0.9999634027481079,0.9999957084655762,1262,708,0.11616501212120056,0.9999467134475708,0.9999958276748657,1277,697,0.11621193587779999,0.9999715089797974,0.9999947547912598,1165,805,0.11866088956594467,0.9999723434448242,0.9999934434890747,1161,828,0.11821587383747101,0.9999618530273438,0.9999934434890747,1162,837,0.11806467920541763,0.9999734163284302,0.9999912977218628,1364,688,0.25161805748939514,0.9999791383743286,0.9999974966049194,1230,841,0.2626163959503174,0.9999374151229858,0.9999927282333374,1265,844,0.1334303766489029,0.9999722242355347,0.9999972581863403,1223,892,0.13336868584156036,0.9999638795852661,0.9999924898147583,1718,778,0.2939216196537018,0.9999624490737915,0.999990701675415,1320,1183,0.33048689365386963,0.9999034404754639,0.999954342842102,2098,889,0.27991044521331787,0.6503106951713562,0.9996817111968994,1410,1551,0.3480101525783539,0.6536405086517334,0.9993239641189575,1916,587,0.17153650522232056,0.9636561870574951,0.9999985694885254,1135,1369,0.2724342942237854,0.9569233059883118,0.9999954700469971,1887,489,0.15411412715911865,0.9568628668785095,0.9999966621398926,1048,1369,0.25802257657051086,0.9557032585144043,0.9999932050704956,1841,480,0.13604258000850677,0.9514939188957214,0.9999973773956299,1059,1313,0.2524639070034027,0.9495694637298584,0.9999949932098389,1834,531,0.16335122287273407,0.9167153239250183,0.9999988079071045,1103,1305,0.26671934127807617,0.920046865940094,0.999997615814209,2240,1310,-0.014771477319300175,0.9998841285705566,0.9999891519546509,1953,1626,0.01429757196456194,0.9998207688331604,0.9999808073043823,2683,878,-0.3316294550895691,0.9163141846656799,0.9999032020568848,1525,2037,-0.2531900405883789,0.7232715487480164,0.9998878240585327,3028,1487,-0.23829126358032227,0.5797444581985474,0.9993170499801636,2009,2302,-0.185367152094841,0.37185603380203247,0.9982895255088806,3034,1633,-0.23324765264987946,0.6535897850990295,0.9975632429122925,2146,2307,-0.1807028353214264,0.4840540289878845,0.997651994228363,3342,1481,-0.3410952687263489,0.4916419982910156,0.9885604977607727,1933,2622,-0.26465579867362976,0.3180069029331207,0.9826728105545044,1519,980,1086,1339,1870,522,None,None,None,None
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221041748.jpeg,38.0,28.8,1411,557,0.09979324787855148,0.9997171759605408,0.9999401569366455,1371,549,0.14008475840091705,0.999567449092865,0.9998960494995117,1370,560,0.13967083394527435,0.9994109869003296,0.9999061822891235,1390,553,0.13967084884643555,0.9996868371963501,0.9998894929885864,1302,613,0.12551185488700867,0.9997053742408752,0.9998615980148315,1287,627,0.12506400048732758,0.9996447563171387,0.9998742341995239,1270,640,0.12492125481367111,0.9997608065605164,0.9998457431793213,1374,658,0.2991037666797638,0.9997609257698059,0.9999418258666992,1243,776,0.23322154581546783,0.9994244575500488,0.9998571872711182,1449,635,0.15763841569423676,0.9997939467430115,0.9999610185623169,1355,700,0.1352730244398117,0.9997667670249939,0.9999221563339233,1719,751,0.3122591972351074,0.999934196472168,0.9999524354934692,1295,1188,0.28238993883132935,0.9998148083686829,0.9998013377189636,2108,857,0.27311044931411743,0.4604242742061615,0.9993051290512085,1400,1567,0.21549192070960999,0.5899454355239868,0.9978834986686707,2012,581,0.06506644189357758,0.8887366056442261,0.9999872446060181,1127,1388,0.04003242775797844,0.9446760416030884,0.9999793767929077,1999,500,0.029408855363726616,0.8864368200302124,0.9999663829803467,1049,1381,0.008119274862110615,0.9491474628448486,0.9999622106552124,1918,470,0.009972435422241688,0.8777219653129578,0.9999713897705078,1056,1322,-0.006733948830515146,0.9441536664962769,0.9999744892120361,1917,526,0.05220953747630119,0.8259806036949158,0.9999877214431763,1095,1316,0.028540603816509247,0.9117178320884705,0.9999885559082031,2244,1284,-0.001466785673983395,0.9998350143432617,0.9999741315841675,1922,1589,0.0008624558104202151,0.9997292160987854,0.9999514818191528,2730,829,-0.27895355224609375,0.8282544016838074,0.9993190765380859,1491,2012,-0.26878905296325684,0.5338992476463318,0.9992089867591858,2961,1537,-0.17068547010421753,0.33746838569641113,0.9965922236442566,2061,2305,-0.15599144995212555,0.18300378322601318,0.9915959239006042,2956,1702,-0.162334606051445,0.45866426825523376,0.9898728132247925,2237,2291,-0.14415201544761658,0.30238795280456543,0.9898597598075867,3341,1568,-0.24129624664783478,0.21562589704990387,0.9421513080596924,2007,2630,-0.2003229409456253,0.11676202714443207,0.9105120897293091,1507,970,1082,1352,1962,519,None,None,None,None
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221041849.jpeg,37.9,28.6,1474,567,0.09270893782377243,0.9998596906661987,0.9999812841415405,1417,552,0.131423220038414,0.9997852444648743,0.9999663829803467,1414,561,0.13102386891841888,0.9997115731239319,0.9999690055847168,1430,554,0.1310737282037735,0.999840259552002,0.9999631643295288,1358,596,0.1109967827796936,0.9998592138290405,0.9999561309814453,1340,618,0.11055134236812592,0.9998310804367065,0.9999587535858154,1322,632,0.11042098701000214,0.9998793601989746,0.9999487400054932,1405,649,0.28872060775756836,0.9999009370803833,0.9999827146530151,1277,769,0.196430504322052,0.9997802376747131,0.999955415725708,1497,641,0.15198096632957458,0.9998816251754761,0.9999833106994629,1446,694,0.12186982482671738,0.9998636245727539,0.9999643564224243,1740,738,0.3194158971309662,0.9999516010284424,0.9999786615371704,1312,1164,0.25123199820518494,0.9998476505279541,0.999900221824646,2110,828,0.3339991569519043,0.5130566954612732,0.9994767308235168,1412,1564,0.24669434130191803,0.6614423990249634,0.9984286427497864,1993,540,0.2165258824825287,0.9187061190605164,0.9999943971633911,1135,1404,0.188419371843338,0.9563431739807129,0.9999910593032837,1946,457,0.2006249874830246,0.9155017733573914,0.9999865293502808,1042,1402,0.17662136256694794,0.9601294994354248,0.9999860525131226,1896,451,0.18260131776332855,0.9077669382095337,0.9999879598617554,1053,1330,0.16656909883022308,0.9553829431533813,0.9999898672103882,1893,500,0.2068469375371933,0.867639422416687,0.9999947547912598,1093,1328,0.1825569123029709,0.9276954531669617,0.999995231628418,2259,1309,0.00815543532371521,0.9998947381973267,0.99998939037323,1941,1617,-0.008716133423149586,0.9998000264167786,0.9999794960021973,2726,854,-0.2499449998140335,0.9556525349617004,0.9999159574508667,1489,2010,-0.2508805990219116,0.8197841644287109,0.9998996257781982,2946,1538,-0.15944816172122955,0.8052700757980347,0.9996582269668579,1909,2213,-0.14391078054904938,0.5678939819335938,0.9992716908454895,2945,1702,-0.1527634859085083,0.832922637462616,0.9988037347793579,2147,2256,-0.1327202320098877,0.6534720063209534,0.9990050196647644,3288,1546,-0.23342272639274597,0.6877425909042358,0.9912294149398804,1870,2573,-0.1867235153913498,0.434215784072876,0.9881740808486938,1526,951,1081,1366,1932,487,None,None,2946,1620
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221041950.jpeg,38.0,28.7,1147,815,0.04773721098899841,0.9998961687088013,0.9999862909317017,1162,750,0.07936085015535355,0.9998514652252197,0.9999734163284302,1203,710,0.07898011803627014,0.9998013377189636,0.9999755620956421,1239,704,0.07902207225561142,0.9998955726623535,0.9999698400497437,1132,804,0.07950682938098907,0.9998869895935059,0.9999581575393677,1133,816,0.07902165502309799,0.9998595714569092,0.9999589920043945,1132,827,0.07885584980249405,0.9998986721038818,0.9999459981918335,1342,682,0.2140837460756302,0.999924898147583,0.9999837875366211,1193,850,0.21742312610149384,0.9997509121894836,0.9999524354934692,1265,840,0.09834272414445877,0.9999085664749146,0.9999878406524658,1220,885,0.0960659608244896,0.9998674392700195,0.9999653100967407,1709,760,0.2616688013076782,0.9999486207962036,0.9999808073043823,1308,1191,0.27703404426574707,0.999821126461029,0.9998966455459595,2098,849,0.2312506139278412,0.7323082685470581,0.9995415210723877,1438,1564,0.2748115062713623,0.6375014185905457,0.9988425374031067,1967,616,0.06979987770318985,0.9606392979621887,0.9999957084655762,1164,1435,0.15849676728248596,0.9603046774864197,0.9999912977218628,1922,542,0.044202256947755814,0.9561370015144348,0.9999891519546509,1078,1437,0.13855083286762238,0.962989330291748,0.9999864101409912,1839,515,0.024129116907715797,0.9520997405052185,0.9999914169311523,1075,1375,0.12426339834928513,0.9583960771560669,0.9999898672103882,1848,564,0.05935657396912575,0.923028826713562,0.9999964237213135,1109,1368,0.1490006446838379,0.9345705509185791,0.9999954700469971,2255,1284,-0.007983485236763954,0.9998531341552734,0.9999785423278809,1945,1601,0.00745777552947402,0.9997350573539734,0.9999608993530273,2758,856,-0.32050418853759766,0.9516208171844482,0.9997205138206482,1484,1963,-0.27783575654029846,0.7809802889823914,0.9997393488883972,2957,1603,-0.3037307560443878,0.7484797835350037,0.9989089965820312,2046,2283,-0.2804145812988281,0.4767380356788635,0.996651828289032,2963,1765,-0.30652719736099243,0.8006142377853394,0.9959558844566345,2240,2281,-0.2819047272205353,0.598887026309967,0.9950271248817444,3273,1592,-0.40799832344055176,0.6178247332572937,0.9784533381462097,1922,2585,-0.35256072878837585,0.3934512138366699,0.9623701572418213,1508,976,1106,1404,1894,559,None,None,None,None
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221042051.jpeg,38.5,28.8,1195,804,0.04136771708726883,0.9999325275421143,0.9999867677688599,1254,716,0.07411343604326248,0.9998890161514282,0.9999709129333496,1224,719,0.07379703968763351,0.999852180480957,0.9999731779098511,1277,660,0.07383906841278076,0.999919056892395,0.9999613761901855,1162,842,0.07017297297716141,0.9999278783798218,0.999957799911499,1162,880,0.06973868608474731,0.9999116659164429,0.9999580383300781,1169,890,0.0695548728108406,0.9999399185180664,0.9999425411224365,1331,691,0.20702539384365082,0.9999508857727051,0.9999818801879883,1223,901,0.19271405041217804,0.9998360872268677,0.9999492168426514,1312,812,0.09149321913719177,0.9999164342880249,0.9999828338623047,1251,912,0.08450717478990555,0.9998838901519775,0.9999520778656006,1751,737,0.25285711884498596,0.9999591112136841,0.9999836683273315,1350,1161,0.2226007580757141,0.9998410940170288,0.999879002571106,2118,690,0.16948431730270386,0.637319028377533,0.9992388486862183,1470,1551,0.1785033792257309,0.6279909610748291,0.9984834790229797,1830,544,-0.022204864770174026,0.8724759221076965,0.999977707862854,1193,1412,0.0429614782333374,0.9530046582221985,0.9999856948852539,1778,476,-0.05307057127356529,0.8565170168876648,0.999942421913147,1120,1419,0.017128925770521164,0.9567764401435852,0.9999765157699585,1725,498,-0.05785726010799408,0.8421984910964966,0.9999606609344482,1098,1356,0.010621876455843449,0.9520387053489685,0.9999827146530151,1744,547,-0.027660928666591644,0.7702739834785461,0.9999827146530151,1137,1345,0.03621038794517517,0.925103485584259,0.9999920129776001,2288,1289,0.018171148374676704,0.999826967716217,0.9999669790267944,1979,1545,-0.018641266971826553,0.9995749592781067,0.999914288520813,2779,936,-0.2985655963420868,0.9637763500213623,0.9996554851531982,1927,1862,-0.19566264748573303,0.5527151226997375,0.9992837309837341,2960,1571,-0.33495014905929565,0.7858924865722656,0.9978967905044556,2154,2072,-0.0337696298956871,0.09046738594770432,0.9869304895401001,2978,1746,-0.3414299786090851,0.8376849293708801,0.9915580749511719,2258,2086,-0.015293881297111511,0.14979085326194763,0.9840283989906311,3224,1568,-0.4501715898513794,0.6806764602661133,0.9615675806999207,2106,2217,-0.054191455245018005,0.08921325206756592,0.9516213536262512,1550,949,1137,1383,1769,516,None,None,2969,1658
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221042152.jpeg,38.1,28.7,1375,598,0.07568595558404922,0.9999818801879883,0.9999973773956299,1350,569,0.11961758136749268,0.999970555305481,0.9999946355819702,1349,577,0.11926551908254623,0.9999595880508423,0.9999951124191284,1351,583,0.11931232362985611,0.9999786615371704,0.9999939203262329,1270,647,0.10003502666950226,0.9999815225601196,0.999991774559021,1291,657,0.09963887184858322,0.9999761581420898,0.9999914169311523,1275,677,0.09954627603292465,0.9999812841415405,0.9999874830245972,1374,630,0.29371362924575806,0.9999865293502808,0.9999973773956299,1262,821,0.20789411664009094,0.9999572038650513,0.9999864101409912,1475,630,0.14035941660404205,0.9999779462814331,0.9999958276748657,1395,718,0.1125212237238884,0.999968409538269,0.9999879598617554,1751,728,0.3331703841686249,0.9999791383743286,0.999993085861206,1351,1170,0.25522077083587646,0.99982088804245,0.9999034404754639,2116,757,0.3179379999637604,0.6814406514167786,0.9997780919075012,1441,1556,0.20465554296970367,0.6604312062263489,0.9985176920890808,1971,515,0.1551046073436737,0.9664926528930664,0.9999970197677612,1154,1416,0.08604199439287186,0.9368318915367126,0.9999760389328003,1945,428,0.13028520345687866,0.9613029956817627,0.999991774559021,1080,1424,0.063614122569561,0.9469885230064392,0.9999628067016602,1849,443,0.11463353782892227,0.9577502608299255,0.9999934434890747,1076,1358,0.05486564710736275,0.940057635307312,0.9999736547470093,1848,500,0.14489632844924927,0.931286096572876,0.9999971389770508,1114,1353,0.07910161465406418,0.9066258072853088,0.9999878406524658,2276,1288,0.013721528463065624,0.999911904335022,0.9999915361404419,1957,1605,-0.014257212169468403,0.9997815489768982,0.9999780654907227,2779,899,-0.29548969864845276,0.9799755215644836,0.9998995065689087,1475,1973,-0.2480718195438385,0.7964084148406982,0.9998224377632141,2997,1646,-0.23387500643730164,0.8488806486129761,0.9996731281280518,1990,2291,-0.1557801216840744,0.4254377484321594,0.9987381100654602,2926,1770,-0.2299651950597763,0.8882633447647095,0.9988778233528137,2162,2287,-0.146518737077713,0.5459925532341003,0.998273491859436,3208,1649,-0.3314746916294098,0.7613096833229065,0.9934317469596863,1932,2582,-0.21682465076446533,0.3722763955593109,0.9845662713050842,1551,949,1106,1388,1903,472,None,None,None,None
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221042254.jpeg,38.1,28.7,1241,761,-0.04808613657951355,0.9999901056289673,0.9999978542327881,1296,690,-0.019407331943511963,0.9999874830245972,0.9999954700469971,1307,673,-0.019800718873739243,0.9999837875366211,0.9999959468841553,1304,669,-0.01976289413869381,0.9999914169311523,0.9999945163726807,1200,794,-0.026118626818060875,0.9999902248382568,0.9999921321868896,1200,811,-0.026577124372124672,0.9999860525131226,0.9999914169311523,1187,852,-0.026762448251247406,0.9999891519546509,0.9999873638153076,1384,663,0.10752810537815094,0.999995231628418,0.9999979734420776,1231,903,0.0813365951180458,0.9999769926071167,0.9999890327453613,1388,743,0.0017149659106507897,0.9999796152114868,0.9999936819076538,1358,814,-0.008617661893367767,0.9999675750732422,0.999977707862854,1765,752,0.1597236692905426,0.9999624490737915,0.999993085861206,1342,1175,0.14266003668308258,0.9996875524520874,0.9998821020126343,2117,769,0.17599478363990784,0.6032176613807678,0.9996768236160278,1440,1552,0.19498546421527863,0.6092818975448608,0.9988492727279663,1989,552,0.11832049489021301,0.863655149936676,0.999991774559021,1168,1426,0.2049492597579956,0.8416948914527893,0.9999731779098511,1976,465,0.10940816253423691,0.8579016923904419,0.9999768733978271,1099,1432,0.20448702573776245,0.8611919283866882,0.9999536275863647,1878,455,0.0901927724480629,0.8489285111427307,0.9999808073043823,1093,1369,0.19461970031261444,0.8507006764411926,0.9999624490737915,1873,519,0.10986410081386566,0.7942790389060974,0.9999918937683105,1130,1357,0.20055437088012695,0.8121753334999084,0.999982476234436,2304,1304,-0.004915226716548204,0.999815046787262,0.9999812841415405,1999,1587,0.00448258500546217,0.9994679093360901,0.9999468326568604,2774,897,-0.27428585290908813,0.9617328643798828,0.9997894167900085,1681,1952,-0.04892820119857788,0.3694247007369995,0.9992098808288574,2936,1572,-0.3153768479824066,0.7857847213745117,0.999036431312561,2071,2125,0.14707514643669128,0.08997038751840591,0.9950984120368958,2935,1744,-0.32084158062934875,0.7754819989204407,0.9961240887641907,2199,2113,0.16946062445640564,0.18275128304958344,0.9950980544090271,3107,1619,-0.40927305817604065,0.6858473420143127,0.9823011159896851,1978,2313,0.16640499234199524,0.08915000408887863,0.9827767610549927,1554,964,1122,1396,1929,498,None,None,2936,1658
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221042355.jpeg,38.0,28.6,1238,787,-0.04086066782474518,0.9999935626983643,0.9999991655349731,1273,699,-0.010292292572557926,0.9999910593032837,0.9999980926513672,1294,688,-0.010660098865628242,0.9999877214431763,0.9999980926513672,1344,644,-0.010578338988125324,0.9999933242797852,0.9999974966049194,1196,809,-0.017328398302197456,0.9999938011169434,0.9999967813491821,1196,820,-0.017769012600183487,0.9999912977218628,0.999996542930603,1196,830,-0.01792857237160206,0.999992847442627,0.9999947547912598,1400,659,0.13169944286346436,0.9999961853027344,0.999998927116394,1229,890,0.10294394940137863,0.9999862909317017,0.999995231628418,1390,764,0.014769216999411583,0.999987006187439,0.9999970197677612,1293,871,0.003626900026574731,0.9999799728393555,0.999990701675415,1759,753,0.19168592989444733,0.9999690055847168,0.9999946355819702,1342,1175,0.17993728816509247,0.9997499585151672,0.999937891960144,2123,769,0.21613748371601105,0.7660509943962097,0.9997381567955017,1441,1554,0.21282336115837097,0.5980566143989563,0.9990460276603699,1958,546,0.1623186618089676,0.9594837427139282,0.9999974966049194,1166,1416,0.18464285135269165,0.8852282762527466,0.9999845027923584,1904,448,0.15472158789634705,0.9520665407180786,0.9999938011169434,1093,1429,0.1795862764120102,0.9072667360305786,0.9999781847000122,1836,454,0.1357111632823944,0.9471477270126343,0.9999949932098389,1090,1362,0.1718704104423523,0.8975823521614075,0.9999830722808838,1843,518,0.1546371728181839,0.916732132434845,0.9999978542327881,1126,1349,0.1804903745651245,0.8612837791442871,0.9999916553497314,2289,1314,-0.005845211911946535,0.9997764229774475,0.9999814033508301,1975,1592,0.005418551154434681,0.9994304776191711,0.999962329864502,2781,897,-0.2596968412399292,0.9863036274909973,0.999874472618103,1484,1974,-0.14570137858390808,0.778363049030304,0.9998026490211487,2919,1585,-0.31242766976356506,0.9304175972938538,0.9996727705001831,1942,2224,-0.05523382127285004,0.4544311463832855,0.9990585446357727,2927,1734,-0.3205661475658417,0.9138924479484558,0.9986950755119324,2105,2227,-0.04527401179075241,0.5818596482276917,0.9987751841545105,3040,1647,-0.4345611333847046,0.887499213218689,0.9947904348373413,1821,2447,-0.0905853882431984,0.44140249490737915,0.9936038851737976,1550,964,1119,1389,1885,492,None,None,2962,1655
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221042456.jpeg,38.3,28.7,1415,605,0.07728735357522964,0.999383807182312,0.9998959302902222,1346,607,0.11587532609701157,0.9986392855644226,0.9997026324272156,1343,607,0.11554315686225891,0.998063862323761,0.9997431635856628,1336,605,0.11557968705892563,0.9989168643951416,0.9997066855430603,1338,622,0.07974730432033539,0.9990763664245605,0.999646782875061,1328,639,0.07937602698802948,0.9989237189292908,0.9996815919876099,1314,665,0.0792977437376976,0.9991742968559265,0.9995997548103333,1328,699,0.26083946228027344,0.9993014335632324,0.9998243451118469,1286,802,0.10096745193004608,0.9983185529708862,0.9995014667510986,1471,636,0.13120658695697784,0.9994596838951111,0.9999055862426758,1462,668,0.08123510330915451,0.9990968704223633,0.9997431635856628,1676,747,0.257789671421051,0.9998985528945923,0.9998972415924072,1372,1000,0.029806062579154968,0.9994764924049377,0.9995788931846619,1967,525,0.04303357005119324,0.83343505859375,0.9988459348678589,1433,992,-0.23135516047477722,0.8815434575080872,0.9992978572845459,1693,535,-0.2655625343322754,0.7649180293083191,0.9999487400054932,1631,568,-0.33630305528640747,0.8421175479888916,0.9999017715454102,1665,540,-0.3148532509803772,0.6977826952934265,0.9998565912246704,1661,499,-0.3917727768421173,0.7633076906204224,0.9997031092643738,1617,568,-0.3051578998565674,0.6721150279045105,0.9998888969421387,1689,483,-0.36172324419021606,0.7186704277992249,0.9997789263725281,1661,562,-0.268592894077301,0.5837991833686829,0.9999370574951172,1682,525,-0.3289075195789337,0.5969958901405334,0.9998928308486938,2371,1335,0.040052443742752075,0.9997233748435974,0.9998760223388672,2061,1633,-0.04068572446703911,0.9995492100715637,0.9998133778572083,2682,864,-0.23260436952114105,0.6446012258529663,0.99912029504776,1513,1911,-0.3267582356929779,0.5147812366485596,0.9989973902702332,3283,1227,-0.22054408490657806,0.22699692845344543,0.9825655221939087,2140,2283,-0.3179052174091339,0.17166583240032196,0.9873017072677612,3307,1370,-0.22599655389785767,0.22855444252490997,0.9411901831626892,2320,2313,-0.32031917572021484,0.1718839406967163,0.9788318872451782,3620,1179,-0.3215360939502716,0.15800248086452484,0.8312801122665405,2073,2545,-0.39394551515579224,0.12074831873178482,0.8982813954353333,1524,874,1660,517,1693,535,None,None,None,None
True,/data/uabcvmsc/shared/newborn/55/20.12.24-21.12.24/HM20241221042557.jpeg,38.0,28.4,1497,570,0.08043636381626129,0.9998981952667236,0.9999692440032959,1420,559,0.11909869313240051,0.9996957778930664,0.9999392032623291,1422,562,0.11877013742923737,0.999640941619873,0.9999483823776245,1422,565,0.11884471774101257,0.9997352957725525,0.9999393224716187,1406,573,0.0783969983458519,0.9998452663421631,0.9999334812164307,1395,591,0.07795502245426178,0.9998501539230347,0.9999457597732544,1383,614,0.07786001265048981,0.9998830556869507,0.9999351501464844,1379,683,0.2818920314311981,0.9998264908790588,0.9999752044677734,1339,759,0.09785139560699463,0.9998080134391785,0.9999425411224365,1545,627,0.14243999123573303,0.9998965263366699,0.9999805688858032,1539,648,0.0860341265797615,0.9999054670333862,0.9999616146087646,1761,747,0.31500667333602905,0.9999690055847168,0.9999860525131226,1353,1175,0.11593006551265717,0.9999151229858398,0.9999420642852783,2134,805,0.25465625524520874,0.4798530042171478,0.9996393918991089,1455,1612,0.052173662930727005,0.720848798751831,0.9993724226951599,2188,478,-0.025322258472442627,0.8016027808189392,0.9998626708984375,1190,1911,-0.05972050875425339,0.9344900846481323,0.9997237324714661,2235,367,-0.059066276997327805,0.8002697229385376,0.9996040463447571,1114,2036,-0.08473119139671326,0.9390345811843872,0.9991695880889893,2161,342,-0.10128086060285568,0.8159674406051636,0.9995741248130798,1064,1990,-0.13049814105033875,0.943183183670044,0.999293327331543,2131,409,-0.05255599319934845,0.7922402620315552,0.9997877478599548,1092,1939,-0.08355112373828888,0.924818217754364,0.999699592590332,2349,1308,0.04850275442004204,0.9996522665023804,0.9999147653579712,2061,1637,-0.049074139446020126,0.9994243383407593,0.9998548030853271,2771,859,-0.2607979476451874,0.8457695245742798,0.9971181154251099,1538,1965,-0.40843451023101807,0.6186525821685791,0.996907651424408,3306,1313,-0.2706550061702728,0.3064292371273041,0.9497359991073608,2347,2182,-0.3385058641433716,0.10860244929790497,0.9656211733818054,3448,1482,-0.2759726941585541,0.4545322060585022,0.884709894657135,2509,2177,-0.33199945092201233,0.17099948227405548,0.9583378434181213,3710,1326,-0.36543965339660645,0.26693329215049744,0.7193639874458313,2419,2381,-0.39709144830703735,0.09487650543451309,0.8280653357505798,1557,961,None,None,2179,399,None,None,None,None
