Process,Image Path,Max Temp,Min Temp
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617182633.jpeg,38.4,29.0
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617182735.jpeg,38.3,28.6
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617182838.jpeg,38.4,28.7
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617182940.jpeg,38.1,28.6
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183042.jpeg,38.2,28.5
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183144.jpeg,38.4,28.5
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183246.jpeg,38.5,28.7
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183348.jpeg,38.3,28.4
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183449.jpeg,38.1,28.2
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183552.jpeg,38.3,28.5
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183653.jpeg,38.9,29.3
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183755.jpeg,38.6,29.0
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617183857.jpeg,38.8,29.2
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184000.jpeg,38.8,29.2
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184102.jpeg,38.8,29.3
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184204.jpeg,38.9,29.3
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184305.jpeg,38.9,29.0
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184407.jpeg,39.0,29.1
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184509.jpeg,38.7,29.1
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184610.jpeg,38.4,28.9
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184713.jpeg,38.3,28.5
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184815.jpeg,38.5,28.3
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617184917.jpeg,38.3,28.3
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185019.jpeg,38.3,28.6
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185123.jpeg,38.3,28.4
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185225.jpeg,38.4,28.3
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185327.jpeg,38.5,28.4
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185429.jpeg,38.4,28.2
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185530.jpeg,38.6,28.7
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185633.jpeg,38.7,28.8
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185735.jpeg,38.6,28.7
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185836.jpeg,38.7,28.6
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617185938.jpeg,38.8,28.4
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617190040.jpeg,38.5,28.4
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617190142.jpeg,38.7,28.4
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617190243.jpeg,38.8,28.7
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617190346.jpeg,38.9,28.7
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617190448.jpeg,38.5,28.6
True,/data/uabcvmsc/shared/newborn/44/12.11.24-13.11.24/HM20240617190550.jpeg,38.5,28.4
